Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
Oceania World Championship Qualifiers 2025,Men's,11 Apr 2025 • 17:15,Quarter final,Connor Hayes,Oliver Dunbar,"0-3, 8-11, 4-11, 15-17, ---, ---",Oliver Dunbar
Oceania World Championship Qualifiers 2025,Men's,11 Apr 2025 • 18:45,Quarter final,Anthony Lepper,Tate Norris,"1-3, 10-12, 9-11, 11-9, 8-11, ---",Tate Norris
Oceania World Championship Qualifiers 2025,Men's,11 Apr 2025 • 18:45,Quarter final,Benjamin Ratcliffe,Rhys Dowling,"0-3, 6-11, 8-11, 4-11, ---, ---",Rhys Dowling
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 14:30,Round 1,Joseph White,Remi Young,"3-0, 11-6, 11-5, 11-5, ---, ---",Joseph White
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 14:30,Round 1,Brendan MacDonald,Dylan Molinaro,"0-3, 9-11, 2-11, 5-11, ---, ---",Dylan Molinaro
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 16:00,Round 1,Joel Arscott,Connor Hayes,"0-3, 6-11, 6-11, 6-11, ---, ---",Connor Hayes
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 16:00,Round 1,Cameron Darton,Oliver Dunbar,"2-3, 11-7, 2-11, 6-11, 12-10, 9-11",Oliver Dunbar
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 17:30,Round 1,Anthony Lepper,Javed Ali,"3-0, 11-6, 13-11, 11-5, ---, ---",Anthony Lepper
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 17:30,Round 1,Tate Norris,Nicholas Calvert,"3-1, 11-1, 11-4, 4-11, 11-7, ---",Tate Norris
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 19:00,Round 1,Benjamin Ratcliffe,Mason Smales,"3-2, 11-8, 11-13, 7-11, 11-9, 11-9",Benjamin Ratcliffe
Oceania World Championship Qualifiers 2025,Men's,10 Apr 2025 • 19:00,Round 1,Bradley Fullick,Rhys Dowling,"1-3, 3-11, 12-10, 9-11, 3-11, ---",Rhys Dowling
Oceania World Championship Qualifiers 2025,Women's,13 Apr 2025 • 14:00,Final,Alex Haydon,Jessica van der Walt,"2-3, 11-9, 2-11, 11-9, 9-11, 6-11",Jessica van der Walt
Oceania World Championship Qualifiers 2025,Women's,12 Apr 2025 • 14:00,Semi final,Alex Haydon,Sarah Cardwell,"3-1, 11-7, 8-11, 11-5, 11-9, ---",Alex Haydon
Oceania World Championship Qualifiers 2025,Women's,12 Apr 2025 • 15:30,Semi final,Madison Lyon,Jessica van der Walt,"2-3, 11-13, 11-9, 2-11, 11-4, 8-11",Jessica van der Walt
Oceania World Championship Qualifiers 2025,Women's,11 Apr 2025 • 16:30,Quarter final,Alex Haydon,Sophie Fadaely,"3-1, 5-11, 11-6, 11-3, 11-5, ---",Alex Haydon
Oceania World Championship Qualifiers 2025,Women's,11 Apr 2025 • 16:30,Quarter final,Rachael Grinham,Sarah Cardwell,"0-3, 9-11, 9-11, 5-11, ---, ---",Sarah Cardwell
Oceania World Championship Qualifiers 2025,Women's,11 Apr 2025 • 18:00,Quarter final,Madison Lyon,Pascale Louka,"3-0, 11-7, 11-6, 11-4, ---, ---",Madison Lyon
Oceania World Championship Qualifiers 2025,Women's,11 Apr 2025 • 18:00,Quarter final,Ella Lash,Jessica van der Walt,"1-3, 4-11, 2-11, 11-4, 12-14, ---",Jessica van der Walt
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 15:15,Round 1,Alex Haydon,Amelie Guziak,"3-0, 11-1, 11-6, 11-4, ---, ---",Alex Haydon
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 15:15,Round 1,Emma Merson,Sophie Fadaely,"1-3, 3-11, 11-9, 3-11, 7-11, ---",Sophie Fadaely
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 16:45,Round 1,Rachael Grinham,Shona Coxsedge,"3-0, 11-6, 11-1, 11-4, ---, ---",Rachael Grinham
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 16:45,Round 1,Joanne Joseph,Sarah Cardwell,"0-3, 12-14, 6-11, 9-11, ---, ---",Sarah Cardwell
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 18:15,Round 1,Madison Lyon,Jena Gregory,"3-0, 11-6, 11-8, 11-9, ---, ---",Madison Lyon
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 18:15,Round 1,Pascale Louka,Remashree Muniandy,"3-2, 11-6, 6-11, 7-11, 11-8, 11-9",Pascale Louka
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 19:45,Round 1,Ella Lash,Sarbani Maitra,"3-0, 11-8, 11-7, 11-5, ---, ---",Ella Lash
Oceania World Championship Qualifiers 2025,Women's,10 Apr 2025 • 19:45,Round 1,Sze Yu Lee,Jessica van der Walt,"0-3, 3-11, 5-11, 4-11, ---, ---",Jessica van der Walt
El Gouna International Squash Open 2025,Men's,18 Apr 2025 • 20:00,Final,Ali Farag,Mostafa Asal,"2-3, 11-6, 11-7, 9-11, 9-11, 5-11",Mostafa Asal
El Gouna International Squash Open 2025,Men's,17 Apr 2025 • 20:00,Semi final,Ali Farag,Joel Makin,"3-1, 11-8, 8-11, 11-7, 11-7, ---",Ali Farag
El Gouna International Squash Open 2025,Men's,17 Apr 2025 • 20:45,Semi final,Paul Coll,Mostafa Asal,"1-3, 11-9, 4-11, 5-11, 6-11, ---",Mostafa Asal
El Gouna International Squash Open 2025,Men's,15 Apr 2025 • 19:15,Quarter final,Ali Farag,Youssef Soliman,"3-0, 11-4, 11-2, 11-5, ---, ---",Ali Farag
El Gouna International Squash Open 2025,Men's,15 Apr 2025 • 20:45,Quarter final,Mohamed Elshorbagy,Joel Makin,"0-3, 3-11, 4-11, 8-11, ---, ---",Joel Makin
El Gouna International Squash Open 2025,Men's,16 Apr 2025 • 20:00,Quarter final,Paul Coll,Mohamad Zakaria,"3-0, 12-10, 11-7, 11-4, ---, ---",Paul Coll
El Gouna International Squash Open 2025,Men's,16 Apr 2025 • 19:15,Quarter final,Youssef Ibrahim,Mostafa Asal,"---, ---, ---, ---, ---, ---",Mostafa Asal
El Gouna International Squash Open 2025,Men's,13 Apr 2025 • 19:15,Round 2,Ali Farag,Jonah Bryant,"3-0, 12-10, 11-3, 11-3, ---, ---",Ali Farag
El Gouna International Squash Open 2025,Men's,13 Apr 2025 • 13:15,Round 2,Curtis Malik,Youssef Soliman,"1-3, 10-12, 14-12, 10-12, 5-11, ---",Youssef Soliman
El Gouna International Squash Open 2025,Men's,13 Apr 2025 • 15:15,Round 2,Mohamed Elshorbagy,Baptiste Masotti,"3-0, 11-7, 14-12, 11-4, ---, ---",Mohamed Elshorbagy
El Gouna International Squash Open 2025,Men's,13 Apr 2025 • 20:45,Round 2,Aly Abou Eleinen,Joel Makin,"1-3, 11-13, 11-1, 10-12, 7-11, ---",Joel Makin
El Gouna International Squash Open 2025,Men's,14 Apr 2025 • 20:45,Round 2,Paul Coll,Greg Lobban,"3-0, 11-7, 11-5, 12-10, ---, ---",Paul Coll
El Gouna International Squash Open 2025,Men's,14 Apr 2025 • 15:15,Round 2,Ramit Tandon,Mohamad Zakaria,"0-3, 7-11, 7-11, 3-11, ---, ---",Mohamad Zakaria
El Gouna International Squash Open 2025,Men's,14 Apr 2025 • 13:15,Round 2,Karim Gawad,Youssef Ibrahim,"1-3, 8-11, 11-4, 10-12, 6-11, ---",Youssef Ibrahim
El Gouna International Squash Open 2025,Men's,14 Apr 2025 • 19:15,Round 2,Gregoire Marche,Mostafa Asal,"0-3, 3-11, 6-11, 4-11, ---, ---",Mostafa Asal
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 19:15,Round 1,Ali Farag,Aly Ezzat,"3-0, 11-5, 11-9, 11-5, ---, ---",Ali Farag
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 12:45,Round 1,Jonah Bryant,Balazs Farkas,"3-2, 6-11, 3-11, 11-8, 11-0, 11-4",Jonah Bryant
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 12:45,Round 1,Abdulla Al-Tamimi,Curtis Malik,"2-3, 12-10, 8-11, 11-5, 12-14, 5-11",Curtis Malik
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 12:45,Round 1,Marwan Assal,Youssef Soliman,"1-3, 4-11, 9-11, 12-10, 3-11, ---",Youssef Soliman
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 14:15,Round 1,Mohamed Elshorbagy,Bernat Jaume,"3-1, 11-13, 11-6, 11-4, 11-8, ---",Mohamed Elshorbagy
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 14:15,Round 1,Baptiste Masotti,Raphael Kandra,"3-0, 11-8, 11-6, 11-6, ---, ---",Baptiste Masotti
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 12:45,Round 1,Aly Abou Eleinen,Auguste Dussourd,"3-1, 11-8, 11-1, 9-11, 12-10, ---",Aly Abou Eleinen
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 14:15,Round 1,Declan James,Joel Makin,"1-3, 8-11, 11-8, 6-11, 10-12, ---",Joel Makin
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 16:45,Round 1,Paul Coll,Mohamed Abouelghar,"3-2, 5-11, 11-7, 11-2, 10-12, 11-5",Paul Coll
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 14:15,Round 1,Greg Lobban,Iker Pajares,"3-1, 11-5, 3-11, 11-9, 11-8, ---",Greg Lobban
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 17:30,Round 1,Ramit Tandon,Timothy Brownell,"3-0, 11-8, 11-5, 11-7, ---, ---",Ramit Tandon
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 17:30,Round 1,Mohamad Zakaria,Tarek Momen,"3-0, 11-6, 12-10, 12-10, ---, ---",Mohamad Zakaria
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 16:00,Round 1,Karim Gawad,Adrian Waller,"3-0, 13-11, 11-7, 11-8, ---, ---",Karim Gawad
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 16:45,Round 1,Youssef Ibrahim,Nicolas Mueller,"3-0, 11-5, 11-9, 11-9, ---, ---",Youssef Ibrahim
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 16:00,Round 1,Gregoire Marche,Nathan Lake,"3-0, 11-9, 11-9, 11-6, ---, ---",Gregoire Marche
El Gouna International Squash Open 2025,Men's,12 Apr 2025 • 20:45,Round 1,Mohamed ElSherbini,Mostafa Asal,"0-3, 3-11, 5-11, 5-11, ---, ---",Mostafa Asal
El Gouna International Squash Open 2025,Women's,18 Apr 2025 • 19:00,Final,Nouran Gohar,Amina Orfi,"3-1, 9-11, 11-7, 11-6, 11-7, ---",Nouran Gohar
El Gouna International Squash Open 2025,Women's,17 Apr 2025 • 18:30,Semi final,Nouran Gohar,Hania El Hammamy,"3-2, 9-11, 11-6, 7-11, 13-11, 11-8",Nouran Gohar
El Gouna International Squash Open 2025,Women's,17 Apr 2025 • 19:15,Semi final,Olivia Weaver,Amina Orfi,"0-3, 10-12, 9-11, 8-11, ---, ---",Amina Orfi
El Gouna International Squash Open 2025,Women's,15 Apr 2025 • 18:30,Quarter final,Nouran Gohar,Georgina Kennedy,"3-0, 11-5, 11-3, 11-4, ---, ---",Nouran Gohar
El Gouna International Squash Open 2025,Women's,15 Apr 2025 • 20:00,Quarter final,Salma Hany,Hania El Hammamy,"0-3, 11-13, 6-11, 4-11, ---, ---",Hania El Hammamy
El Gouna International Squash Open 2025,Women's,16 Apr 2025 • 19:15,Quarter final,Olivia Weaver,Tinne Gilis,"3-0, 11-3, 11-1, 11-1, ---, ---",Olivia Weaver
El Gouna International Squash Open 2025,Women's,16 Apr 2025 • 18:30,Quarter final,Amina Orfi,Nour ElSherbini,"3-2, 11-8, 10-12, 11-7, 11-13, 11-9",Amina Orfi
El Gouna International Squash Open 2025,Women's,13 Apr 2025 • 18:30,Round 2,Nouran Gohar,Malak Khafagy,"3-0, 11-4, 11-5, 11-5, ---, ---",Nouran Gohar
El Gouna International Squash Open 2025,Women's,13 Apr 2025 • 12:30,Round 2,Farida Mohamed,Georgina Kennedy,"1-3, 9-11, 5-11, 11-2, 11-13, ---",Georgina Kennedy
El Gouna International Squash Open 2025,Women's,13 Apr 2025 • 14:30,Round 2,Sivasangari Subramaniam,Salma Hany,"2-3, 11-9, 11-4, 7-11, 2-11, 8-11",Salma Hany
El Gouna International Squash Open 2025,Women's,13 Apr 2025 • 20:00,Round 2,Sana Ibrahim,Hania El Hammamy,"0-3, 7-11, 1-11, 10-12, ---, ---",Hania El Hammamy
El Gouna International Squash Open 2025,Women's,14 Apr 2025 • 20:00,Round 2,Olivia Weaver,Rachel Arnold,"3-0, 11-7, 11-4, 11-4, ---, ---",Olivia Weaver
El Gouna International Squash Open 2025,Women's,14 Apr 2025 • 14:30,Round 2,Joelle King,Tinne Gilis,"2-3, 3-11, 11-5, 9-11, 12-10, 8-11",Tinne Gilis
El Gouna International Squash Open 2025,Women's,14 Apr 2025 • 12:30,Round 2,Amina Orfi,Lucy Turmel,"3-1, 11-6, 7-11, 11-7, 11-4, ---",Amina Orfi
El Gouna International Squash Open 2025,Women's,14 Apr 2025 • 18:30,Round 2,Satomi Watanabe,Nour ElSherbini,"1-3, 7-11, 11-7, 8-11, 5-11, ---",Nour ElSherbini
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 18:30,Round 1,Nouran Gohar,Lisa Aitken,"3-0, 11-2, 11-3, 11-5, ---, ---",Nouran Gohar
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 18:15,Round 1,Malak Khafagy,Georgia Adderley,"3-2, 5-11, 11-9, 1-11, 11-5, 14-12",Malak Khafagy
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 12:00,Round 1,Farida Mohamed,Rowan Elaraby,"3-0, 12-10, 11-3, 11-6, ---, ---",Farida Mohamed
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 12:00,Round 1,Sarah-Jane Perry,Georgina Kennedy,"0-3, 6-11, 5-11, 10-12, ---, ---",Georgina Kennedy
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 13:30,Round 1,Sivasangari Subramaniam,Aira Azman,"3-0, 11-4, 11-5, 11-3, ---, ---",Sivasangari Subramaniam
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 12:00,Round 1,Nele Gilis-Coll,Salma Hany,"0-3, 5-11, 8-11, 9-11, ---, ---",Salma Hany
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 13:30,Round 1,Sana Ibrahim,Hana Ramadan,"3-2, 13-11, 5-11, 5-11, 11-5, 11-5",Sana Ibrahim
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 13:30,Round 1,Jasmine Hutton,Hania El Hammamy,"1-3, 4-11, 3-11, 12-10, 5-11, ---",Hania El Hammamy
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 17:30,Round 1,Olivia Weaver,Menna Hamed,"3-0, 11-3, 11-6, 11-3, ---, ---",Olivia Weaver
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 17:30,Round 1,Zeina Mickawy,Rachel Arnold,"2-3, 5-11, 8-11, 13-11, 12-10, 5-11",Rachel Arnold
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 16:45,Round 1,Joelle King,Amanda Sobhy,"3-2, 14-16, 16-14, 12-10, 4-11, 11-9",Joelle King
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 13:30,Round 1,Katie Malliff,Tinne Gilis,"1-3, 8-11, 9-11, 12-10, 7-11, ---",Tinne Gilis
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 16:45,Round 1,Amina Orfi,Jana Swaify,"3-0, 11-4, 11-4, 11-1, ---, ---",Amina Orfi
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 16:00,Round 1,Lucy Turmel,Barb Sameh,"3-0, 11-9, 11-3, 11-5, ---, ---",Lucy Turmel
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 16:00,Round 1,Tomato Ho,Satomi Watanabe,"0-3, 5-11, 1-11, 4-11, ---, ---",Satomi Watanabe
El Gouna International Squash Open 2025,Women's,12 Apr 2025 • 20:00,Round 1,Fayrouz Aboelkheir,Nour ElSherbini,"1-3, 11-6, 6-11, 4-11, 7-11, ---",Nour ElSherbini
Europe World Championship Qualifiers 2025,Men's,15 Apr 2025 • 19:15,Final,Melvil Scianimanico,Toufik Mekhalfi,"3-2, 11-4, 1-11, 9-11, 11-9, 11-9",Melvil Scianimanico
Europe World Championship Qualifiers 2025,Men's,14 Apr 2025 • 18:45,Semi final,Melvil Scianimanico,Viktor Byrtus,"3-1, 8-11, 11-3, 11-5, 11-6, ---",Melvil Scianimanico
Europe World Championship Qualifiers 2025,Men's,14 Apr 2025 • 20:15,Semi final,Finnlay Withington,Toufik Mekhalfi,"1-3, 15-17, 9-11, 11-0, 6-11, ---",Toufik Mekhalfi
Europe World Championship Qualifiers 2025,Men's,13 Apr 2025 • 17:45,Quarter final,Daniel Poleshchuk,Melvil Scianimanico,"0-3, 4-11, 6-11, 2-11, ---, ---",Melvil Scianimanico
Europe World Championship Qualifiers 2025,Men's,13 Apr 2025 • 12:45,Quarter final,Viktor Byrtus,Samuel Osborne - Wylde,"3-2, 6-11, 11-8, 11-9, 4-11, 11-0",Viktor Byrtus
Europe World Championship Qualifiers 2025,Men's,13 Apr 2025 • 12:45,Quarter final,Perry Malik,Finnlay Withington,"2-3, 11-6, 5-11, 11-3, 5-11, 4-11",Finnlay Withington
Europe World Championship Qualifiers 2025,Men's,13 Apr 2025 • 17:45,Quarter final,Brice Nicolas,Toufik Mekhalfi,"1-3, 11-8, 12-14, 5-11, 4-11, ---",Toufik Mekhalfi
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 17:45,Round 1,Daniel Poleshchuk,Sam Buckley,"3-1, 3-11, 11-7, 11-3, 11-4, ---",Daniel Poleshchuk
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 17:45,Round 1,David Maier,Melvil Scianimanico,"0-3, 6-11, 6-11, 3-11, ---, ---",Melvil Scianimanico
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 12:45,Round 1,Viktor Byrtus,Ondrej Vorlicek,"3-0, 11-7, 11-6, 11-9, ---, ---",Viktor Byrtus
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 12:45,Round 1,Robert Downer,Samuel Osborne - Wylde,"0-3, 8-11, 8-11, 9-11, ---, ---",Samuel Osborne - Wylde
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 14:15,Round 1,Edwin Clain,Perry Malik,"2-3, 5-11, 0-11, 11-5, 11-2, 13-15",Perry Malik
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 14:15,Round 1,Sam Gerrits,Finnlay Withington,"0-3, 5-11, 4-11, 5-11, ---, ---",Finnlay Withington
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 19:15,Round 1,Brice Nicolas,Aqeel Rehman,"3-0, 11-7, 11-3, 11-9, ---, ---",Brice Nicolas
Europe World Championship Qualifiers 2025,Men's,12 Apr 2025 • 19:15,Round 1,Will Salter,Toufik Mekhalfi,"1-3, 11-4, 2-11, 4-11, 5-11, ---",Toufik Mekhalfi
Europe World Championship Qualifiers 2025,Women's,15 Apr 2025 • 18:30,Final,Kiera Marshall,Alison Thomson,"3-1, 11-5, 4-11, 11-7, 11-5, ---",Kiera Marshall
Europe World Championship Qualifiers 2025,Women's,14 Apr 2025 • 18:00,Semi final,Kiera Marshall,Saskia Beinhard,"3-2, 5-11, 11-3, 8-11, 11-7, 12-10",Kiera Marshall
Europe World Championship Qualifiers 2025,Women's,14 Apr 2025 • 19:30,Semi final,Millie Tomlinson,Alison Thomson,"2-3, 10-12, 11-1, 11-9, 13-15, 9-11",Alison Thomson
Europe World Championship Qualifiers 2025,Women's,13 Apr 2025 • 17:00,Quarter final,Cristina Gomez,Kiera Marshall,"0-3, 5-11, 11-13, 7-11, ---, ---",Kiera Marshall
Europe World Championship Qualifiers 2025,Women's,13 Apr 2025 • 12:00,Quarter final,Madeleine Hylland,Saskia Beinhard,"2-3, 6-11, 7-11, 11-4, 13-11, 10-12",Saskia Beinhard
Europe World Championship Qualifiers 2025,Women's,13 Apr 2025 • 12:00,Quarter final,Millie Tomlinson,Lowri Roberts,"3-0, 11-4, 11-7, 12-10, ---, ---",Millie Tomlinson
Europe World Championship Qualifiers 2025,Women's,13 Apr 2025 • 17:00,Quarter final,Alison Thomson,Hannah Craig,"3-2, 11-3, 3-11, 11-7, 11-13, 12-10",Alison Thomson
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 17:00,Round 1,Enora Villard,Cristina Gomez,"2-3, 11-6, 11-8, 10-12, 10-12, 10-12",Cristina Gomez
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 17:00,Round 1,Cristina Tartarone,Kiera Marshall,"0-3, 8-11, 7-11, 7-11, ---, ---",Kiera Marshall
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 12:00,Round 1,Madeleine Hylland,Elise Romba,"3-1, 11-8, 7-11, 11-6, 11-7, ---",Madeleine Hylland
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 12:00,Round 1,Nadia Pfister,Saskia Beinhard,"0-3, 9-11, 5-11, 7-11, ---, ---",Saskia Beinhard
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 13:30,Round 1,Millie Tomlinson,Tessa ter Sluis,"3-0, 11-7, 15-13, 11-2, ---, ---",Millie Tomlinson
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 13:30,Round 1,Jacqueline Peychär,Lowri Roberts,"0-3, 7-11, 7-11, 6-11, ---, ---",Lowri Roberts
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 18:30,Round 1,Asia Harris,Alison Thomson,"RET-, 10-12, 7-11, 1-5, ---, ---",Alison Thomson
Europe World Championship Qualifiers 2025,Women's,12 Apr 2025 • 18:30,Round 1,Katerina Tycova,Hannah Craig,"0-3, 5-11, 10-12, 4-11, ---, ---",Hannah Craig
Asia World Championship Qualifiers 2025,Men's,20 Apr 2025 • 14:00,Final,Veer Chotrani,Ameeshenraj Chandaran,"3-0, 11-3, 11-4, 11-8, ---, ---",Veer Chotrani
Asia World Championship Qualifiers 2025,Men's,19 Apr 2025 • 13:00,Semi final,Veer Chotrani,Chi Him Wong,"3-1, 11-7, 11-6, 7-11, 11-4, ---",Veer Chotrani
Asia World Championship Qualifiers 2025,Men's,19 Apr 2025 • 16:30,Semi final,Ameeshenraj Chandaran,Muhammad Asim Khan,"3-1, 11-9, 8-11, 11-6, 11-2, ---",Ameeshenraj Chandaran
Asia World Championship Qualifiers 2025,Men's,18 Apr 2025 • 12:00,Quarter final,Veer Chotrani,Mohammad Syafiq Kamal,"3-1, 9-11, 11-6, 11-6, 11-7, ---",Veer Chotrani
Asia World Championship Qualifiers 2025,Men's,18 Apr 2025 • 13:30,Quarter final,Chi Him Wong,Darren Pragasam,"3-1, 6-11, 11-8, 11-3, 11-6, ---",Chi Him Wong
Asia World Championship Qualifiers 2025,Men's,18 Apr 2025 • 15:00,Quarter final,Ameeshenraj Chandaran,Bryan Lim,"3-2, 8-11, 11-13, 11-8, 11-2, 11-6",Ameeshenraj Chandaran
Asia World Championship Qualifiers 2025,Men's,18 Apr 2025 • 16:30,Quarter final,Ravindu Laksiri,Muhammad Asim Khan,"1-3, 11-9, 8-11, 4-11, 12-14, ---",Muhammad Asim Khan
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 12:00,Round 1,Veer Chotrani,Ong Sai Hung,"3-0, 11-7, 11-8, 14-12, ---, ---",Veer Chotrani
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 12:45,Round 1,Ming Hong Tang,Mohammad Syafiq Kamal,"1-3, 11-8, 5-11, 8-11, 7-11, ---",Mohammad Syafiq Kamal
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 13:30,Round 1,Chi Him Wong,Duncan Lee,"3-0, 11-8, 11-8, 11-3, ---, ---",Chi Him Wong
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 14:15,Round 1,Darren Pragasam,Matthew Lai,"3-2, 11-8, 9-11, 8-11, 11-8, 11-3",Darren Pragasam
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 15:00,Round 1,Ameeshenraj Chandaran,Wailok To,"3-1, 12-10, 1-11, 12-10, 11-4, ---",Ameeshenraj Chandaran
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 15:45,Round 1,Ammar Altamimi,Bryan Lim,"0-3, 7-11, 6-11, 4-11, ---, ---",Bryan Lim
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 16:30,Round 1,Ravindu Laksiri,Jerome Aw,"3-0, 11-4, 11-4, 11-4, ---, ---",Ravindu Laksiri
Asia World Championship Qualifiers 2025,Men's,17 Apr 2025 • 17:15,Round 1,Tomo Endo,Muhammad Asim Khan,"1-3, 8-11, 6-11, 12-10, 8-11, ---",Muhammad Asim Khan
Asia World Championship Qualifiers 2025,Women's,20 Apr 2025 • 15:00,Final,Anahat Singh,Toby Tse,"3-1, 11-4, 9-11, 11-2, 11-8, ---",Anahat Singh
Asia World Championship Qualifiers 2025,Women's,19 Apr 2025 • 13:45,Semi final,Helen Tang,Anahat Singh,"0-3, 2-11, 7-11, 6-11, ---, ---",Anahat Singh
Asia World Championship Qualifiers 2025,Women's,19 Apr 2025 • 15:15,Semi final,Toby Tse,Akanksha Salunkhe,"3-1, 11-3, 12-10, 10-12, 11-8, ---",Toby Tse
Asia World Championship Qualifiers 2025,Women's,18 Apr 2025 • 12:45,Quarter final,Tanvi Khanna,Helen Tang,"1-3, 5-11, 6-11, 12-10, 9-11, ---",Helen Tang
Asia World Championship Qualifiers 2025,Women's,18 Apr 2025 • 14:15,Quarter final,Anahat Singh,Akari Midorikawa,"3-0, 11-1, 11-7, 11-5, ---, ---",Anahat Singh
Asia World Championship Qualifiers 2025,Women's,18 Apr 2025 • 15:45,Quarter final,Yasshmita Jadish Kumar,Toby Tse,"1-3, 11-9, 5-11, 7-11, 4-11, ---",Toby Tse
Asia World Championship Qualifiers 2025,Women's,18 Apr 2025 • 17:15,Quarter final,Wai Yhann Au Yeong,Akanksha Salunkhe,"0-3, 0-11, 3-11, 3-11, ---, ---",Akanksha Salunkhe
Asia World Championship Qualifiers 2025,Women's,17 Apr 2025 • 12:00,Round 1,Nga Ching Cheng,Tanvi Khanna,"1-3, 7-11, 8-11, 11-8, 10-12, ---",Tanvi Khanna
Asia World Championship Qualifiers 2025,Women's,17 Apr 2025 • 12:45,Round 1,Yu Jie Chen,Helen Tang,"0-3, 9-11, 3-11, 4-11, ---, ---",Helen Tang
